id,code,name,is_support
14,6.001,Программист,True
27,6.002,Специалист почтовой связи,False
17,6.003,Архитектор программного обеспечения,True
18,6.004,Специалист по тестированию в области информационных технологий,True
15,6.005,Инженер-радиоэлектронщик,True
23,6.006,Специалист по радиосвязи и телекоммуникациям,False
20,6.007,Инженер-проектировщик в области связи (телекоммуникаций),True
24,6.008,Специалист по производству продукции сетевых изданий и информационных агентств,False
25,6.009,Специалист по продвижению и распространению продукции средств массовой информации,False
26,6.010,Инженер технической поддержки в области связи (телекоммуникаций),False
1,6.011,Администратор баз данных,True
3,6.012,Менеджер продуктов в области информационных технологий,True
16,6.013,Специалист по информационным ресурсам,True
4,6.014,Менеджер по информационным технологиям,True
2,6.015,Специалист по информационным системам,True
5,6.016,Руководитель проектов в области информационных технологий,True
6,6.017,Руководитель разработки программного обеспечения,True
28,6.018,Инженер связи (телекоммуникаций),False
7,6.019,Технический писатель (специалист по технической документации в области информационных технологий),True
29,6.020,Кабельщик-спайщик,False
30,6.021,Антенщик-мачтовик,False
8,6.022,Системный аналитик,True
31,6.023,Оператор связи,False
32,6.024,Специалист по технической поддержке информационно-коммуникационных систем,False
9,6.025,Специалист по дизайну графических и пользовательских интерфейсов,True
10,6.026,Системный администратор информационно-коммуникационных систем,True
11,6.027,Специалист по администрированию сетевых устройств информационно-коммуникационных систем,True
12,6.028,Системный программист,True
13,6.029,Менеджер по продажам информационно-коммуникационных систем,False
33,6.030,Специалист по защите информации в телекоммуникационных системах и сетях,False
34,6.031,Специалист по автоматизации информационно-аналитической деятельности в сфере безопасности,False
35,6.032,Специалист по безопасности компьютерных систем и сетей,False
36,6.033,Специалист по защите информации в автоматизированных системах,False
37,6.034,Специалист по технической защите информации,False
19,6.035,Разработчик Web и мультимедийных приложений,True
38,6.036,Специалист по обслуживанию телекоммуникаций,False
39,6.037,Специалист по поддержке программно-конфигурируемых информационно-коммуникационных сетей,False
40,6.038,Специалист по монтажу телекоммуникационного оборудования,False
41,6.039,Специалист по организации и поддержке видеоуслуг через Интернет,False
42,6.040,Специалист по контролю качества информационно-коммуникационных систем,False
21,6.041,Специалист по интеграции прикладных решений,True
22,6.044,Консультант в области развития цифровой грамотности населения (цифровой куратор),False
